ID,Description,Entry_ID,Comment,Derived_Meaning_Chintang,Derived_Meaning_English,Derived_Meaning_Nepali,Expanded_Definition_English,Expanded_Definition_Nepali,alt_translation1
SN000001,nah,a,,,,,,,अ
SN000002,a.letter,LX000001,,,,,the vowel [a],,आ
SN000003,VOC,a-,,,,,vocative,,
SN000004,2S/A,LX000002,,,,,2nd person single argument or agent,,
SN000005,1sPOSS,LX000003,,,,,1st person singular possessive,,मेरो
SN000006,DIST,LX000004,,,,,distal,,त्यहाँ
SN000007,yes; yah,LX000005,The phonological form of this word is / Ṽ /.,,,,used by the listener to confirm his understanding and to keep the speaker talking,,अँ
SN000008,hmm; er,LX000006,,,,,used by a speaker when he doesn't know what to say next or is thinking,,अँ
SN000009,PST,-a,,,,,past,,
SN000010,PST,LX000007,,,,,past,,
SN000011,IMP,LX000008,Variant -h with -ei [ATTN] attentional. Variants with -ʔ regular before -na [INSIST] insistive.,,,,imperative,,
SN000012,NTVZ nativizer,LX000009,Probably originated from the reanalysis of Nepali word-final [ʌ] regardless of parts of speech.,,,,nativizer,,
SN000013,3s,LX000010,,,,,3rd person singular,,-अ
SN000014,IMP.2MH,LX000011,-u with vowel stems,,,,2nd person medium honorific imperative,,-अ; -ऊ
SN000015,RECP reciprocal,LX000012,,,,,,,गरागर गर्नु
SN000016,1s,LX000013,found only in NEG,,,,1st person singular,,-अँ
SN000017,ah,LX000014,,,,,a sound produced when opening one’s mouth wide,,आँ
SN000018,mango,LX000015,,,,,,,आँप
SN000019,time; duration,abadhi,,,,,,,अवधि
SN000020,a.nickname,LX000016,,,,,,,आबाराङ्
SN000021,here.and.there,abardebar,,,,,,,यता-उता
SN000022,chance; opportunity,abasar,,,,,,,अवसर; मौका
SN000023,condition; state; situation,abastha,,,,,,,अवस्था
SN000024,late,abela,,,,,,,अबेला
SN000025,tropical.chickweed,abijal,,,,,drymaria cordata,,अबिजाल
SN000026,a.name,abinas,,,,,male name,,अविनाश
SN000027,vermilion,abir,,,,,,,अबिर
SN000028,a.kind.of.chilli,abire,,,,,very hot and used as a medicine,धेरै पिरो हुन्छ । औषधीको रूपमा प्रयोग हुन्छ ।,अकबरे
SN000029,now,abo,,,,,,,अब
SN000030,oh; wow,abui,,,,,expresses (positive/negative) surprise or amazement,,आपुई
SN000031,non.existence; absence; lack.of,abhab,,,,,,,अभाव
SN000032,unlucky; unfortunate; miserable,abhagi,,,,,,,अभागी
SN000033,a.nickname,abhasi,,,,,refers to a person who eats much,,अभसि
SN000034,responsibility,abhibhara,,,,,,,अभिभार
SN000035,guardian,abhibhawak,,,,,,,अभिभावक
SN000036,a.name,abhisan,,,,,,,अभिषण
SN000037,oh; wow,aca,,,,,expresses surprise,,अचा
SN000038,surprise,acamma,,,,,,,अचम्म
SN000039,sudden; unexpected,acanak,,,,,,,अचानक
SN000040,choppinɡ.block,acanu,,,,,a block of wood used for cutting things on,,अचानु
SN000041,pickles; chutney; salsa,acar,,,,,"a component of the Nepali meal. Most often comprising pickled vegetables, but many other hot, sour or bitter comestibles can also serve as a base for this, and consistency can range from solid to paste-like to near-liquid.",,अचार
SN000042,too.much,LX000017,,,,,,,अच्चकली
SN000043,a.kind.of.grass,accame,,,,,,,कालीझार
SN000044,good,accha,,,,,,,अच्छा; राम्रो
SN000045,ugh; yuck; tut,acchi,,,,,expresses disgust,,आच्ची; छि
SN000046,three.days.ago,acchosa,,,,,,,झनअस्ति; तीन दिन अघि
SN000047,ouch; brrr,acchu,,,,,used when feeling pain or being cold,,आच्छु
SN000048,nowadays; these.days,acikali,,,,,,,आजकल; आज-भोलि
SN000049,under.your.protection,achapicha,,,,,,शरण/आस्रय (दिनु/पर्नु),आछापिछा
SN000050,sacred.rice,acheta,,,,,,,अछेता
SN000051,two.years.ago,LX000018,,,,,in the year before the last; in the second year before the present one,,परार; दुई बर्ष अघि
SN000052,unsociable,adabange,,,,,,,
SN000053,give.and.take,adanpradan,,,,,,,आदानप्रदान
SN000054,respect; politeness; courtesy,adar,,,,,,,आदर
SN000055,in.one.day,addawa,,,,,,,एकै दिनमा
SN000056,fool; idiot,ademca,,,,,,,मुर्ख
SN000057,later.on,LX000019,,,,,,,पछि
SN000058,etc.,adi,,,,,,,आदि
SN000059,grandmother,LX000020,,,,,,,बज्यै
SN000060,choke.on; restrain,adkau,,,,,,,अड्काउनु
SN000061,three.years.ago,LX000021,,,,,in the third year before the present one,,तीन बर्ष अघि
SN000062,ginger,aduwa,,,,,,,अदुवा
SN000063,big.shot; important.person,LX000022,,,,,,,ठूलो मान्छे
SN000064,half,adha,,,,,,,आधा
SN000065,two.and.a.half,adhai,,,,,,,अढाई
SN000066,half.done; unripe; inexperienced,adhakalco,,,,,,,आधाकल्चो
SN000067,half,adhakhanci,,,,,,,आधा
SN000068,half.done; half.bruised,adhapilto,,,,,,,अध-पिल्टो
SN000069,base,adhar,,,,,,,आधार
SN000070,adv.midnight,adharati,,,,,,,आधाराति; मध्यरात
SN000071,half,adhi,,,,,,,आधी
SN000072,storm,LX000023,,,,,,,आँधि
SN000073,storm; whirlwind; tempest,LX000024,,,,,,,आँधिबेहेरी
SN000074,right; authority; power; function,adhikar,,,,,,,अधिकार
SN000075,officer,adhikari,,,,,,,अधिकारी
SN000076,empire; sovereignty; kingdom,adhirajya,,,,,,,अधिराज्य
SN000077,nearly.half,adhisaro,,,,,,,आधिसरो
SN000078,equal.partnership,LX000025,,,,,,,अधियाँ
SN000079,modern; new; contemporary,adhunika,,,,,,,आधुनिक
SN000080,supervisor; chairman; lord,adhyaksa,,,,,,,अध्यक्ष
SN000081,darkness,LX000026,,,,,,,अँध्यार
SN000082,dark,LX000027,,,,,,,अँध्यारो
SN000083,reading; studying,adhyayan,,,,,,,अध्ययन्
SN000084,before; ago,agadi,,,,,,,पहिला; अगाडि
SN000085,accept,agal,,,,,,,अगाल्नु
SN000086,yard,agan,,,,,,,आँगन
SN000087,fire; fireplace,agena,,,,,,,अघ्याना
SN000088,earliest,agge,,,,,,,अग्गे
SN000089,a.name,aglima,,,,,,,अग्लीमा
SN000090,high; tall,aglo,,,,,,,अग्लो
SN000091,fire,ago,,,,,,,आगो
SN000092,piece.of.burning.wood; torch,agulto,,,,,,,अगुल्टो
SN000093,first; previous; leading,aguwa,,,,,,,अगुवा; पहिलो
SN000094,be.satisfied; be.stuffed; belch,aghau,,,,,,,अघाउनु
SN000095,earlier; before; long.time.ago,aghe,,,,,,,अघि
SN000096,a.kind.of.shrub,agheru,,,,,a shrub growing on trees,,ऐजेरु
SN000097,no,LX000028,The phonological form of this word is /VhṼʔ/. The tongue height and the degree of labial closure and in the segment before and after [h] vary; [ʌ] and [u] are the endpoints of a continuum. A full closure ([ʔmhm]) is possible as well (but never transcribed?). [h] can be dropped in fast speech.,,,,,,अहँ
SN000098,pond,ahal,,,,,,,आहाल
SN000099,a.place,ahale,,,,,,,अहाले
SN000100,yummy,aham,,,,,expresses the feeling of eating something tasty,,
SN000101,egoism,ahammati,,,,,,,अहम्मति
SN000102,IDEOPH,LX000029,,,,,imitation of the grunting of a bull,,अहाङ
SN000103,jealousy,aharis,,,,,,,आहरीस
SN000104,now,ahile,,,,,,,अहिले
SN000105,oh,aho,"The phonological form of this word is /VkhV/. Both vowels are low and vary between [ʌ] and [o], [ʌho] being the most typical realisation. The second vowel should be equal to or higher than the first, so [ohʌ] is impossible. [i] or [u] are frequently added to the second vowel to reinforce the rising movement. The consonant in the middle has the usual free variants [kʰ], [x], [h], but also appears geminated as [kːʰ].",,,,exclamation of surprise,,अहो
SN000106,oh,ai,,,,,,,ऐ
SN000107,a.letter,LX000030,,,,,English <i>,,आइ
SN000108,IDEOPH,LX000031,,,,,onomatopoeic sound for calling a buffalo,यो भैसीको आवाजको नक्कल हो ।,आई
SN000109,EMPH,-ai,,,,,,,-ऐ
SN000110,ID.card,aidi,,,,,,,आइ-डी
SN000111,idea; trick,aidiya,,,,,,,जुक्ति
SN000112,come,aija,,,,,,,आइजा
SN000113,woman,aimai,,,,,,,आइमाई
SN000114,mirror,aina,,,,,,,ऐना
SN000115,arrive,aipug,,,,,,,आइपुग्नु
SN000116,fighting; kicking,ais,,,,,,,लडाई; लात्ती
SN000117,comfort; pleasure,LX000032,,,,,,,ऐश
SN000118,with.ease; easily; nicely; properly,aisa,-a [NTVZ] nativizer has not been segmented because the meaning of the unit is considerably different from Nep. ऐश.,,,,,,आराम पुर्बक तरिकाले; आनन्दले
SN000119,berry,LX000033,,,,,"referes to various types of berries, many of them similar to raspberries",,ऐंसेलु
SN000120,Sunday,aitabar,,,,,the first day of the Nepalese week,,आइतबार
SN000121,a.name,aitabare,,,,,,,आइतबारे
SN000122,ouch; oh.no; wow,aiya,,,,,expresses pain or excitement,,ऐय्या
SN000123,huh; hmm; yeah,LX000034,,,,,,,हँ
SN000124,today,aja,,,,,,,आज
SN000125,these.days,ajabholi,,,,,,,आजभोलि
SN000126,ignorance,ajan,,,,,,,अज्ञान
SN000127,adjust,ajast,,,,,,,एड्जस्ट
SN000128,today,ajataha,,,,,,,
SN000129,furthermore; more; moreover; still; yet,ajha,,,,,,,अझै
SN000130,snake; python,LX000035,,,,,,,अजिङगर
SN000131,a.name,ajiti,,,,,,,अजिती
SN000132,nowadays,ajkal,,,,,,,आजकल
SN000133,chilli,akabare,,,,,,,अकबरे
SN000134,misfortune; event.at.wrong.time; wrong.time,akal,,,,,,,अकाल
SN000135,shape,akar,,,,,,,आकार
SN000136,sky,akas,,,,,,,आकाश
SN000137,a.name,LX000036,,,,,male name,,अकाश
SN000138,letter,akcher,,,,,,,अक्षर
SN000139,1s,akka,variant ak- with -ko [GEN] genitive,,,,I,,म
SN000140,wow; oh.my,LX000037,,,,,expresses surprise or astonishment,,अम्मै; अहो
SN000141,a.kind.of.slug,LX000038,,,,,,,चिप्ले किरा
SN000142,dumbfounded; perplexed,akkanabakka,,,,,,,अक्कनबक्क
SN000143,surprisingly; amazingly; much,akkhai,,,,,,,आश्चऱ्यजनक; साह्रै; अति
SN000144,hesitate,akmakau,,,,,,,अकमकाउनु
SN000145,IDEOPH,aknathukthuk,,,,,state of being blue and black because of anger,,रिसाएर धुमधुम बस्नु
SN000146,crack; burst,akt,,,,,,,चर्कनु; फुट्नु
SN000147,crack; burst,LX000039,,,,,,,चर्काउनु; फुटाउनु
SN000148,october,aktobar,,,,,,,अक्टोबर
SN000149,eye,LX000040,,,,,,,आँखा
SN000150,ahem,akham,,,,,the sound of coughing or clearing one's throat,खोक्दा आउने आवाज,अखाम
SN000151,undivided; whole,akhanda,,,,,,,अखण्ड
SN000152,wicked,akhandapakhanda,,,,,,,अखण्डपाखण्ड
SN000153,Indian.heynea,akhataruwa,,,,,Heynea trijuga,,आँखातरुवा
SN000154,jealousy,LX000041,,,,,,,आँखिडाही
SN000155,a.party,akhil,,,,,a section of the communists,,अखिल
SN000156,indeed; in.the.end; finally,akhir,,,,,,,आखिर
SN000157,last; final,akhiri,,,,,,,आखिरी
SN000158,a.place,akhisalla,,,,,the neighbouring VDC of Chintang,,आखिसल्ला
SN000159,section.between.two.joints; joint.of.a.stem,LX000042,,,,,,,आँख्लो
SN000160,yesterday,LX000043,,,,,,,हिजो
SN000161,a.place,akhuwa,,,,,,,अखुवा
SN000162,be.full.of; bulge,al,,,,,,,भरिनु; बाक्लो हुनु
SN000163,be.levered; be.lifted; turn.over,LX000044,,,,,of something stuck in the ground,,(ढुङ्गाजस्तो) पल्टनु
SN000164,lever; lift; turn.over,LX000045,,,,,something stuck in the ground,,पल्टाउनु; उक्काउनु
SN000165,make.bulge,LX000046,,,,,,,बाक्लो बनाउनु
SN000166,portent; misfortune,alacchin,,,,,,,अलक्षण
SN000167,separately,alagga,,,,,,,अलग्गा
SN000168,EXCLA,alai,,,,,,,एलाई
SN000169,nowhere; lost; left.alone; not.cared.about,alapatra,,,,,,,अलपत्र
SN000170,sometime,alapjhalap,,,,,,,कहिलकाहिँ
SN000171,overcome; completely.exhausted,alastalas,,,,,,,अलास तलास
SN000172,plum,alca,,,,,,,आल्चा
SN000173,female.who.brings.misfurtune,alecchini,,,,,,,अलेच्छिनी
SN000174,a.little,ali,,,,,,,अलि
SN000175,ridge; terrace,LX000047,,,,,,,आली
SN000176,a.bit; some,alikata,,,,,,,अलिकता
SN000177,hang,aljh,,,,,,,अल्झिनु
SN000178,juvenile; childish; boyish; irresponsible,allare,,,,,,,अल्लरे
SN000179,oh,alle,,,,,marks surprise,,अम्मै
SN000180,confusion; chaos; delay,almal,,,,,,,अलमल
SN000181,fresh,alo,,,,,,,आलो
SN000182,cardamom,LX000048,,,,,,,अलैंची
SN000183,disappear; vanish; be.missing; get.out.of.the.way; come.to.nothing; grow.less; wear.away,alp,,,,,,,अल्पिन्
SN000184,lazy,alsi,,,,,,,अल्सी
SN000185,potato,alu,,,,,,,आलु
SN000186,ouch,am,,,,,,,ऐया
SN000187,general; total,LX000049,,,,,,,आम
SN000188,2sPOSS,am-,,,,,,,तिम्रो
SN000189,mother,ama,,,,,,,आमा
SN000190,sister.in.law,amaju,,,,,,,आमाजू
SN000191,plum,amala,,,,,,,अमला
SN000192,obstinate,amandhama,,,,,,,अटेर
SN000193,immortal,amar,,,,,,,अमर
SN000194,a.name,ambar,,,,,male name,,अम्बर
SN000195,a.place,ambira,,,,,the Mundhum name for the northwestern part of Āṃkhisallā VDC,आखिसल्लाको उत्तर पुर्बी भाग,अम्बिरा
SN000196,a.deity,LX000050,,,,,resides at Ambira,,आम्बिराहाङ
SN000197,a.deity,LX000051,,,,,,आम्बुहाङ छिन्ताङ राईहरुको पुर्खा (देउता) हुन् जसलाई राजदेउको सहयोगीको रुपमा पनि बिश्वास गरिन्छ ।,आम्बुहाङ
SN000198,income; profit,amdani,,,,,,,आम्दानी
SN000199,discord; disagreement,amel,,,,,,,अमेल
SN000200,a.place,amerika,,,,,the country of USA,,अमेरिका
SN000201,a.medicine,amgit,,,,,a kind of medicine used for stomach pain,,
SN000202,sour; bitter,amilo,,,,,,,अमिलो
SN000203,oh,ammai,,,,,marks surprise,,अम्मै
SN000204,grandmother,LX000052,,,,,,,आम्मै
SN000205,face.to.face,amnesamne,,,,,,,आमनेसामुने
SN000206,2pPOSS,amnu-,,,,,,,तिमीहरूको
SN000207,a.name,amrit,,,,,male name,,अमरित
SN000208,a.name,amrita,,,,,female name,,अमरिता
SN000209,be.shot; be.hurled.away; be.knocked.away,ams,,,,,,,हानिनु; उछिट्टिनु
SN000210,shoot; hurl,LX000053,,,,,,,हान्नु; फ्याँक्नु
SN000211,1piPOSS; 1diPOSS; 1nsiPOSS,an-,,,,,,,हाम्रो
SN000212,3p; 3MED,-an,,,,,3rd person plural; 3rd person medium honorific,,-अन्
SN000213,four.paisa,ana,,,,,,चार पैसालाई एक आना भनिन्छ ।,आना
SN000214,1pePOSS,ana-,,,,,,,हाम्रो
SN000215,useless,anahak,,,,,,,अनाहक
SN000216,immoral,anaitik,,,,,,,अनैतिक
SN000217,when,anam,,,,,,,कहिले
SN000218,long.time.ago,anamanam,,,,,,,पहिला
SN000219,a.clan.of.Chintang.Rai,ananda,,,,,,,आनन्द
SN000220,happiness; joy; pleasure; comfort; peace,LX000054,,,,,,,आनन्द
SN000221,a.deity,LX000055,,,,,the mythical anchestor of the Ananda clan,,आनन्द
SN000222,1pe,LX000056,variant ana- with -ko [GEN] genitive,,,,we: first person exclusive plural; is used to exclude other persons from the group of the speaker,म र अर्का मान्छेहरू,हामी
SN000223,pomegranate,anar,,,,,,,अनार
SN000224,strange; unusual,anautho,,,,,,,अनौठो
SN000225,unnecessary,anawasek,,,,,,,अनावश्यक
SN000226,1dePOSS possessive,anca-,,,,,,,हाम्रो
SN000227,province; zone,ancal,,,,,the highest structural unit in the political organisation of Nepal. Chintang V.D.C. lies in Kośī Añcala.,,अञ्चल
SN000228,governor,ancaladhis,,,,,the administrative head of a political unit called añcal 'zone',,अञ्चलाधीश
SN000229,1de,LX000057,variant anca- with -ko [GEN] genitive,,,,we: first person exclusive dual; is used to exclude other persons from the group of the speaker,म र अर्को एकजना,हामी
SN000230,1di,anci,,,,,"we: first person inclusive plural; is used when there is no need to distinguish between the group of the speaker and some other group, typically when the listener is in the same group as the speaker",म र तिमी,हामी
SN000231,1diPOSS possessive,anci-,,,,,,,हाम्रो
SN000232,egg,anda,,,,,,,अण्डा
SN000233,underpants,andarpen,,,,,,,कट्टु
SN000234,dark,ando,,,,,,,अन्धो; अँध्यारो
SN000235,revolution; agitation,andolan,,,,,,,आन्दोलन
SN000236,intestines,andra,,,,,,,आन्द्र
SN000237,without.knowing; haphazardly; indiscriminately; blindly,andhadhunda,,,,,,,अन्धाधुन्धा
SN000238,darkness,andhakar,,,,,,,अन्धकार
SN000239,blind; not.seeing,andho,,,,,not only as a permanent state but also temporarily in the dark,,अन्धो
SN000240,several; all.kinds,anek,,,,,,,अनेक
SN000241,all.kinds.of; every,LX000058,,,,,,,अनेकौं
SN000242,last.year,LX000059,,,,,,,पोहोर (साल)
SN000243,a.name,anes,,,,,,,अनेस
SN000244,1pi,ani,,,,,we: first person inclusive plural,म तिमी र अर्को मान्छे/मान्छेहरू,हामी
SN000245,and,LX000060,,,,,,,अनि
SN000246,1piPOSS possessive,ani-,,,,,,,हाम्रो
SN000247,compulsory; obligatory,anibareya,,,,,,,अनिवार्य
SN000248,sleepless; wakeful,anido,,,,,,,अनिदो
SN000249,famine; time.of.scarcity,anikal,,,,,,,अनिकाल्
SN000250,a.name,anil,,,,,,,अनिल
SN000251,a.name,anita,,,,,female name,,अनिता
SN000252,really,LX000061,,,,,,,साँच्चै
SN000253,how; what; why,LX000062,,,,,,,कसो; के; किन
SN000254,in.some.way; in.various.ways; somehow,LX000063,,,,,,,के के; कस्तो कस्तो
SN000255,palm,anjuli,,,,,of the hand,,अन्जुली
SN000256,food; grain; crop,anna,,,,,,,अन्न
SN000257,older.woman; elder.sister.VOC,anne,"This word seems to be etymologically related to na 'elder.sister' (plus a- [1sPOSS] possessive). It is used when addressing one's elder sister or when addressing or referring to anybody else who could be one's elder sister. When referring to one's own elder sister, however, the transparent form a-nna [1sPOSS-elder.sister] is used instead.",,,,,,दिदी
SN000258,very; to.a.high.degree; extremely,annu,,,,,,,अति; साह्रो
SN000259,entrails; organ; bowel,anro,,,,,,,आन्रो
SN000260,according.to,ansar,,,,,,,अनुसार
SN000261,a.nickname,anta,,,,,,,अन्त
SN000262,difference; interval; space,antar,,,,,,,अन्तर
SN000263,fifth.son,antare,,,,,,,अन्तरे
SN000264,within,antargat,,,,,,,अन्तरगत
SN000265,fifth.daughter,antari,,,,,,,अन्तरी
SN000266,aunt,anti,,,,,,,काकी
SN000267,last; final,antim,,,,,,,अन्तिम
SN000268,conclusion; end,antya,,,,,,,अन्त्य
SN000269,fifty.eight,anthauna,,,,,,,अन्ठाउन
SN000270,a.name,anu,,,,,female name,,अनु
SN000271,experience; feeling,anubhab,,,,,,,अनुभव
SN000272,face,anuhar,,,,,,,अनुहार
SN000273,proportion; rate,anupat,,,,,,,अनुपात
SN000274,a.name,anupe,,,,,male name,,अनुपे
SN000275,a.name,anura,,,,,,,
SN000276,otherwise,anyatha,,,,,,,अन्यथा
SN000277,how; what,LX000064,,,,,,,कसो; के
SN000278,Q,LX000065,,,,,used at the end of an utterance to demand confirmation by the listener; similar to English question tags,,नि
SN000279,what,LX000066,,,,,,,केके
SN000280,pine,LX000067,,,,,,,सल्लो
SN000281,a.clan.of.Chintang,LX000068,,,,,,,आङबुरा
SN000282,a.deity,LX000069,,,,,the mythical anchestor of the Aŋbura clan,,आङबुरा
SN000283,a.place,LX000070,,,,,,,आङछा
SN000284,endure; put.up.with; tolerate,LX000071,,,,,,,सहनु
SN000285,body; body.part,LX000072,,,,,,,अङ्ग
SN000286,embrace,LX000073,,,,,,,अँगालो
SN000287,finger,LX000074,,,,,,,औंला
SN000288,grape,LX000075,,,,,,,अङ्गुर
SN000289,a.nickname,LX000076,,,,,,,अंगुरी
SN000290,uncle,LX000077,,,,,,,काका
SN000291,a.kind.of.mushroom,LX000078,,,,,,,एक प्रकारको च्याउ
SN000292,pine.grove,LX000079,,,,,,,सल्लाघरी
SN000293,wound,LX000080,,,,,,आङमिखेईं एक प्रकारको घाउ हो जसले भतभती पोल्छ ।,घाउ
SN000294,yard,LX000081,,,,,,,आँगन
SN000295,long.time.ago; last.time,LX000082,,,,,,,अस्ति
SN000296,English,LX000083,,,,,,,अंग्रेजी
SN000297,get.warm; get.hot,LX000084,,,,,,,सेकिनु
SN000298,warm; heat,LX000085,,,,,,,सेकाउनु
SN000299,share; division; lot; section,LX000086,,,,,,,अंश
SN000300,shoot; hit,ap,,,,,,,हान्नु
SN000301,father,apa,,,,,,,बुवा
SN000302,big,apamme,,,,,,,अपाम्मे; ठूलो
SN000303,disabled,LX000087,,,,,,,अपाङ्ग
SN000304,convict,aparadhi,,,,,,,अपराधी
SN000305,each.other,apasapas,,,,,,,आपस-आपस
SN000306,problem; catastrophe; danger; misfortune,apatti,,,,,,,आपत्ति
SN000307,a.kind.of.grass,LX000088,,,,,,,अर्थुंगे
SN000308,IDEOPH,LX000089,,,,,ideophone for spraying water/liquid,पानी छर्कदाको लागि प्रयोग गरिने ।,आपु'चु'रु'क
SN000309,a.bow,apmacha,,,,,,,एउटा विशेष गुलेली
SN000310,self; oneself,appi,,,,,,,आफै
SN000311,each.other,appiappi,,,,,,,
SN000312,surgery,apresan,,,,,,,चिरफार गर्नु
SN000313,fairy; nymph,apsara,,,,,,,अप्सरा
SN000314,REFL,apse,,,,,,,आपसे
SN000315,shoot; hit,apt,,,,,,,हान्नु
SN000316,arrow,LX000090,,,,,,खोला पूजा गर्दा देवतालाई सम्बोधन गर्ने श्ब्द हो जसको अर्थ धनु चलाउनु हुन्छ ।,धनु चलाउने
SN000317,difficult; hard; inconvenient,aptharo,,,,,,,अप्ठ्यारो
SN000318,incomplete,apuro,,,,,,,अपुरो
SN000319,childless,aputali,,,,,,,अपुतालि
SN000320,pooh,aph,,,,,sound of blowing,,उफ
SN000321,relatives,aphanta,,,,,,,अफान्त
SN000322,one's.own,LX000091,,,,,,,आफन्त
SN000323,older.man; elder.brother.VOC,aphe,,,,,,,दाइ
SN000324,office,aphis,,,,,,,अफिस
SN000325,official,aphisial,,,,,,,अफिसियल
SN000326,REFL.GEN reflexive genitive,aphno,,,,,,,आफ्नो
SN000327,a.place,aphrika,,,,,the African continent,,अफ्रिका
SN000328,itself; themselves,aphseap,,,,,,,आफ-से-आफ
SN000329,self,aphu,,,,,,,आफू
SN000330,saw,ara,,,,,,,आरा
SN000331,rest,aram,,,,,,,आराम
SN000332,1sPOSS,LX000092,,,,,,,मेरो
SN000333,rice.offered.in.worship,arassi,,,,,,,अछेता
SN000334,a.name,arati,,,,,female name,,
SN000335,strong,arattha,,,,,,,अरट्ठ
SN000336,order,arau,,,,,,,अह्राउनु
SN000337,sacred.rice,arawa,,,,,,यो मुन्धुमी शब्द हो । यसको प्रयोग सामान्य दैनीक बोलचालमा प्रयोग हुदैन ।,अछेता
SN000338,a.name,arcana,,,,,,,अर्चाना
SN000339,REP,are,Corresponds to Chintang pho,,,,reportative,,अरे; रे
SN000340,oh,LX000093,,,,,"exclamation of anger, disgust, or disrespect",,अरे
SN000341,a.clan.of.Rai,LX000094,,,,,,,अरेङ्
SN000342,disorder; extra,arghelo,,,,,problem,,अर्घेलो
SN000343,small.saw,ari,,,,,,,आरी
SN000344,top; tray,LX000095,,,,,,,आरी
SN000345,a.clan.of.Chintang.Rai,LX000096,,,,,,,आरिहाङ्
SN000346,a.deity,LX000097,,,,,the mythical ancestor of the Arihang clan,,आरिहाङ
SN000347,a.place,arjentina,,,,,the country of Argentina,,अर्जेन्टिना
SN000348,a.name,arjun,,,,,male name,,अर्जुन
SN000349,another; other; different; next,arko,,,,,,,अर्को
SN000350,liquor; spirit,arkha,,,,,typically made from millet in Chintang,छिन्ताङमा प्राय जसो कोदोले बनाइन्छ,रक्सी
SN000351,army,armi,,,,,,,फौज्; सैन्य दल्
SN000352,golden.shower.tree,aroga,,,,,cassia fistula,,राजवृक्ष
SN000353,a.name,arpan,,,,,male name,,अर्पन
SN000354,a.name,arpana,,,,,female name,,अर्पणा
SN000355,sixty.eight,arsath,,,,,,,अड़्सठ्
SN000356,instruction; advice; suggestion,arti,,,,,,,अर्ति
SN000357,arts,arts,,,,,,,आर्टस
SN000358,meaning,artha,,,,,,,अर्थ
SN000359,economic,arthik,,,,,,,आर्थिक
SN000360,other; another,aru,,,,,,,अरु
SN000361,a.place,arukharka,,,,,,,आरुखर्क
SN000362,a.river,arun,,,,,,,अरुण नदि
SN000363,a.name,aruna,,,,,female name,,अरुणा
SN000364,one.who.lives.across.Arun,arunpare,,,,,,,अरुणपारे
SN000365,a.name,as,,,,,male name,,अस् ; आश
SN000366,2NH,-as,,,,,2nd person non-honorific,,-अस्; -स्
SN000367,a.name,asa,,,,,female name,,आशा
SN000368,hope; wish; desire,LX000098,,,,,,,आशा
SN000369,bad.sign; jinx,asagune,,,,,,,असगुन
SN000370,assistant.subinspector,asai,,,,,derived from the abbreviation A.S.I. and probably Indian English,,असइ
SN000371,good,asal,,,,,,,असल
SN000372,a.place,asam,,,,,,,आसाम
SN000373,a.name,asan,,,,,,,असान
SN000374,a.month,asar,,,,,third month of the Nepalese calendar,,असाढ
SN000375,result; consequence,LX000099,,,,,,,असर
SN000376,a.name,asari,,,,,,,असार
SN000377,unrighteousness; impropriety; illegality,asatti,,,,,,,असत्ति
SN000378,untruth; unrighteousness; impropriety,asatya,,,,,,,असत्य
SN000379,two.days.ago; some.days.ago; some.time.ago; last.time,LX000100,,,,,,,अस्ति; केही दिन अघि
SN000380,three.days.ago; some.days.ago,LX000101,,,,,at least three days before today,,झनअस्ति; तीन दिन अघि
SN000381,two.days.ago,LX000102,,,,,the day before yesterday,,अस्ति
SN000382,eighty,asi,,,,,,,असी
SN000383,a.name,asika,,,,,female name,,असिका
SN000384,illiterate,asikchit,,,,,,,अशिक्छित; अनपढ
SN000385,ashirwad; blessing,asikhabara,,,,,a ritual performed for the success of oneself or of members of the same family,व्यक्ति तथा घर परिवारको सम्पुर्ण सदस्यको प्रगतिको कामनाकोलागि गरिने पूजा,आशिर्वाद
SN000386,yesterday,asinda,,,,,,,हिजो
SN000387,a.name,asis,,,,,,,आसिस
SN000388,waistcoat,askot,,,,,,,अस्कोट
SN000389,a.name,asmola,,,,,,,आसमोला
SN000390,a.month,asoj,,,,,sixth month of Nepalese calendar,,असोज
SN000391,a.name,asok,,,,,male name,,अशोक
SN000392,proximity; relation,aspas,,,,,,,आसपास
SN000393,a.place,assam,,,,,,,आसाम
SN000394,a.few.days.ago; the.day.before.yesterday,asti,,,,,,,अस्ति
SN000395,trust; faith,astha,,,,,,,आस्था
SN000396,how.much; how.many; about,asuk,variant asko before numeral classifiers,,,,,,कति
SN000397,compensation,asul,,,,,of a debt,,असुल
SN000398,malabar.nut.tree,asuro,,,,,adhatoda vasica,,असुरो
SN000399,assurance,aswasan,,,,,,,आस्वासन
SN000400,be.about.to; intend; dare; begin; venture; decide,LX000103,,,,,,,आँट्नु
SN000401,be.contained; be.held; be.fitting.into,atau,,,,,,,अटाउनु
SN000402,coming.and.going,atejate,,,,,,,आते-जाते
SN000403,very; exceedingly,ati,,,,,,,अति
SN000404,excess,aticar,,,,,,,अतिचार
SN000405,offered.flower,atisi,,,,,flowers offered in a ritual,,फूलपाती
SN000406,a.name,atmaya,,,,,female name,,आत्माया
SN000407,be.nervous; panic,att,,,,,,,अत्तिनु
SN000408,how.big; as.big.as; that.big,atta,,,,,,,कत्रो; जत्रो; उत्रो
SN000409,flour,LX000104,,,,,,,आटा
