ID,Description,Entry_ID,Comment,Derived_Meaning_Chintang,Derived_Meaning_English,Derived_Meaning_Nepali,Expanded_Definition_English,Expanded_Definition_Nepali,alt_translation1
SN008778,noisily; quickly,saplaksupluk,,,,,heavy things falling down with great speed or eating noisily and quickly,,गर्ल्याम-गुर्लुम
SN008779,very; much; many; a.lot,sapphi,,,,,,,सप्फी; धेरै
SN008780,grow.well,sapr,,,,,,,सप्रिनु
SN008781,most; SUPL,sapse,,,,,,,सबभन्दा
SN008782,clear; frank,saph,,,,,,,साफ
SN008783,clean,sapha,,,,,,,सफा
SN008784,successful,saphal,,,,,,,सफल
SN008785,a.name,LX002588,,,,,,,सफल
SN008786,success; fruitfulness; profitableness,saphalta,,,,,,,सफलता
SN008787,move; shift; transfer; copy,sar,,,,,,,सार्नु
SN008788,sir; master; mister,LX002589,,,,,,,सर
SN008789,move; shift,LX002590,,,,,,,सर्नु
SN008790,whole; entire; complete,sara,,,,,,,सारा
SN008791,equality,saraha,,,,,,,सरह
SN008792,extremely; difficult,sarai,,,,,,,साह्रै
SN008793,house.moving,LX002591,,,,,,,सराई
SN008794,meat; flesh; fruit.pulp; solid.part,sarak,,,,,"the best part of something to eat: meat without the bones, fruit flesh, the solid part of a soup",,मासु; फल; छोक्रा
SN008795,a.name,sarala,,,,,female name,,सरला
SN008796,shelter; protection,saran,,,,,,,शरण
SN008797,a.name,LX002592,,,,,male name,,सरान
SN008798,protection,saranapicha,,,,,,मुन्धुमी शब्द,शरणपिछा
SN008799,a.kind.of.millet,LX002593,,,,,,,साराङगे
SN008800,an.instrument,LX002594,,,,,a string instrument similar to a violin,,सारङगी
SN008801,curse,sarap,,,,,,,सराप
SN008802,curse,LX002595,,,,,,,सराप्नु
SN008803,IDEOPH,sararara,,,,,manner of swinging or rocking something hanging; playing with a swing,अनुकरणात्मक शब्द जसले पिङ मच्चाउने तरिका बुझाउँछ,सररर
SN008804,continuously; straightaway,sarasari,,,,,,,सरासर; लगातार
SN008805,a.goddess,saraswati,,,,,the Hindu goddess of knowledge and learning,,सरस्वती
SN008806,a.river,LX002596,,,,,a mythical river,,सरस्वती
SN008807,a.place,saratha,,,,,mythical.place,ठाउँको नाम,सरठ्ठा
SN008808,all,sarba,,,,,,,सर्ब
SN008809,public,sarbajanik,,,,,,,सार्वजानिक
SN008810,a.kind.of.yam,sarbale,,,,,a sweet yam,,एक प्रकारको तरुल
SN008811,a.name,sarchulachu,,,,,,,सरछुलच्छु
SN008812,things,sardam,,,,,,रितमा चाहिने सामाग्रिहरुलाई मुन्धुमको भाषामा सरदम भनिन्छ ।,सामाग्री; सरदाम
SN008813,principal; head,sardar,,,,,,,सरदार
SN008814,cold; catarrh,sardi,,,,,,,सर्दी
SN008815,epidemic; ghost; curse,sari,,,,,,महामारीलाई मुन्धुमी भाषामा सारिलोङ्मा कोकुलोङ्मा भनिन्छ ।,महामारी
SN008816,sari; women's.dress,LX002597,,,,,,,साडी
SN008817,like; resembling; similar,LX002598,,,,,,,सरि
SN008818,in.exchange.for,-sari,,,,,,,-सरि
SN008819,trouble; illness,sarima,,,,,,,दु:ख; ब्याधि
SN008820,body,sarir,,,,,,,शरीर
SN008821,a.name,sarita,,,,,female name,,सरिता
SN008822,a.name,sarjal,,,,,,,सर्जल
SN008823,government,sarkar,,,,,,,सरकार
SN008824,governmental,sarkari,,,,,,,सरकारी
SN008825,a.caste,sarki,,,,,the caste of shoemakers and cobblers.,,सार्की
SN008826,shame; modesty,sarma,,,,,,,शर्म
SN008827,middle.name,LX002599,,,,,,,शर्मा
SN008828,a.name,sarmane,,,,,,,सरमाने
SN008829,a.name,sarmila,,,,,female name,,शर्मिला
SN008830,difficult,sarogaro,,,,,,,साह्रोगाह्रो
SN008831,much; very; heavily; seriously; ill,sarok,,,,,,,साह्रो
SN008832,greedy,LX002600,,,,,,,लोभी
SN008833,snake,sarpa,,,,,,,सर्प
SN008834,cleanliness,sarsaphai,,,,,,,सरसफाई
SN008835,a.name,saru,,,,,,,सरु
SN008836,bone,LX002601,,,,,,,हाड; हड्डी
SN008837,breath,sas,,,,,,,सास
SN008838,command; authority; control; instruction,sasan,,,,,,,शासन
SN008839,culture; customs,LX002602,,,,,,,संस्कृति
SN008840,trouble; torture,sasti,,,,,,,शास्ति
SN008841,cheap,sasto,,,,,,,सस्तो
SN008842,religious.treatise; scripture,sastra,,,,,,,शास्त्र
SN008843,organisation; corporation,LX002603,,,,,,,संस्था
SN008844,father.in.law,sasura,,,,,,,ससुरा
SN008845,wife's.father's.house; wife's.father's.family,sasurali,,,,,,,ससुराली
SN008846,exchange; change,sat,,,,,,,साट्नु
SN008847,drag; haul; draw.along; pull; pull.out,LX002604,,,,,,,घिसार्नु; तान्नु
SN008848,be.pulled; be.dragged,LX002605,,,,,,,घिसारिनु; तानिनु
SN008849,shirt,LX002606,,,,,,,सट
SN008850,seven,LX002607,,,,,,,सात
SN008851,week,sata,,,,,,,साता
SN008852,seventy.seven,satahattar,,,,,,,सतहत्तर
SN008853,a.name,satak,,,,,,,सतक
SN008854,road; paved.road,LX002608,,,,,,,सडकि
SN008855,alarmed; careful,satarka,,,,,,,सतर्क
SN008856,eighty.seven,satasi,,,,,,,सतासी
SN008857,forty.seven,satcalis,,,,,,,सतचालीस
SN008858,hospitality,satkar,,,,,,,सतकार
SN008859,shortcut,satkat,,,,,,,छोट्कारी; शोटकट
SN008860,hexagon,satkon,,,,,,,षट्कोण
SN008861,soul; consciousness,sato,,,,,,,सातो
SN008862,seventeen,satra,,,,,,,सत्र
SN008863,a.name,LX002609,,,,,,,सत्र
SN008864,sixty.seven,satsathi,,,,,,,सतसाठी
SN008865,pull.for.someone; inhale,satt,,,,,,,तान्नु; तानिदिनु
SN008866,instead.of; in.exchange.for; in.compensation.for,satta,"used with GEN+LOC (X-ko satta-ma, parallel to 'in the place of').",,,,,,सट्टा
SN008867,government; rule; exchange,LX002610,,,,,,,सत्ता
SN008868,twenty.seven,sattais,,,,,,,सत्ताइस
SN008869,seventy,sattari,,,,,,,सत्तरी
SN008870,true,satte,,,,,,,सत्य
SN008871,truth,satteta,,,,,,,सत्यता
SN008872,a.deity,LX002611,,,,,god of truth,छिन्ताङ राईहरुले पुज्ने देवता ।,सत्य वचन बोल्ने देउता
SN008873,a.deity,LX002612,,,,,goddess of truth,छिन्ताङ राईहरुले पुज्ने देवि ।,सत्य बोल्ने देउता
SN008874,truthful,sattewan,,,,,,,सत्यवान
SN008875,flour.of.parched.corn,sattu,,,,,,,सातु
SN008876,enemy,sattur,,,,,,,शत्रु
SN008877,ground.meal,satu,,,,,,,सातु
SN008878,truth,satya,,,,,,,सत्य
SN008879,golden.age,satyajug,,,,,lit. 'age of truth'; one of the four ages of Hindu mythology,,सत्य जुग
SN008880,together; as.well,sath,,,,,,,साथ
SN008881,afterbirth,sathe,,,,,,,साथे
SN008882,friend,sathi,,,,,,,साथि
SN008883,sixty,LX002613,,,,,,,साठी
SN008884,certificate,sathibiket,,,,,,,लब्धाङ्क पत्र
SN008885,capital; stock,LX002614,,,,,,,साउँ
SN008886,a.place,saudi,,,,,the United Arab Emirates,,साउदी
SN008887,offering; present; sacrifice,saugat,,,,,,,सौगात
SN008888,a.month,saun,,,,,fourth month of Nepalese calendar,,साउन
SN008889,sound,saund,,,,,,,आवज
SN008890,gorkha.soldier,saure,,,,,rhyming abuse word for lahure,,साउरे
SN008891,co.wife,sauta,,,,,,,सौता
SN008892,a.game,LX002615,the segmentation of saũwahoiʔhoiʔ is not clear,,,,"a game in which one child plays the buffalo (saũwa), the other rides on him",,एक प्रकारको खेल
SN008893,strength,sawa,,,,,,,बल
SN008894,more.by.one.quarter; plus.one.quarter,LX002616,,,,,,,सवा
SN008895,a.name,LX002617,,,,,,,सवाहाङ
SN008896,question,sawal,,,,,,,सवाल
SN008897,journey,sawari,,,,,,,सवारी
SN008898,soul,saya,,,,,,,सातो
SN008899,a.name,LX002618,,,,,,,सय
SN008900,perhaps,sayad,,,,,,,सायद
SN008901,set.of.hundred.pieces,sayakada,,,,,,,सयकडा
SN008902,marigold,sayapatri,,,,,,,सैपत्रि
SN008903,hundred,saye,,,,,,,सय
SN008904,seventy,sebenti,,,,,,,सत्तरी
SN008905,seventeen,sebentin,,,,,,,सत्र
SN008906,safe,sebh,,,,,,,सुरक्षित
SN008907,seven,sebhen,,,,,,,सात
SN008908,take.care.of; improve,sehar,,,,,,,सेहार्नु
SN008909,an.evil.spirit,LX002619,,,,,,,सेंहे
SN008910,servant,seho,,,,,,,नोकर
SN008911,thorn; prickle,LX002620,,,,,,,काँडा
SN008912,dream,LX002621,,,,,,,सपना
SN008913,dreamland,LX002622,,,,,,,सपनाको संसार
SN008914,heaven; otherworld,LX002623,,,,,a place where the souls of the dead are believed to stay,,स्वर्ग
SN008915,bedbug,sekbha,,,,,,,उडुस
SN008916,many,sekeke,,,,,collocates with lice,,धेरै
SN008917,IDEOPH,sekekewa,,,,,"sound of (little, hungry) birds",,क्याउ क्याउ
SN008918,second,sekend,,,,,,,सेकेण्ड
SN008919,splinter,sekra,,,,,,,घँसेटो; छेस्को
SN008920,section,seksan,,,,,,,सेक्सन
SN008921,gurgling,sekseksek,,,,,,,
SN008922,grasshopper,sekup,,,,,,,फट्याङग्रो
