ID,Language_ID,Headword,Part_Of_Speech,Alternative_Pronounciation,Citation_Form,Etymology,Language,Question,Register,Regular_Allomorphs,Valency
a,ctn,a,interj,ũʔ ; ũ ; u,,,C,,,,
LX000001,ctn,a,n,,,,N,,,,
a-,ctn,a-,gm,,,,B,,,,
LX000002,ctn,a-,gm,,,,C,,,,
LX000003,ctn,a-,gm,,,,C,,,,
LX000004,ctn,a-,gm,ai-,,,C,,,,
LX000005,ctn,ã,interj,a ; aa ; ae ; aẽ ; ah ; au ; aũ ; aɨm ; aɨ̃ ; aɨ̃m ; ãã ; ãh ; ãm ; ãʔ ; ĩʔ ; uʔ ; ũ ; ũh ; ũm ; um̄ ; um ; ũʔ ; ɨ̃ ; ɨ̃ʔ ; ɨ̃ɨ̃ʔ,,,N,,,,
LX000006,ctn,ã,interj,a ; aʔ ; ãʔ ; aɨ ; ah,,,C/N,,,,
-a,ctn,-a,gm,,,,C,,,,
LX000007,ctn,-a,gm,,,,B,,,,
LX000008,ctn,-a,gm,-ak ; -aʔ ; -haʔ ; -hãʔ ; -ya ; -yaʔ ; -yã,,,C,,,-hã ; -ha ; -h,
LX000009,ctn,-a,gm,,,,C,,,-ya,
LX000010,ctn,-a,gm,-ʌ,,,N,,,,
LX000011,ctn,-a,gm,-ʌ,,,N,,,-u,
LX000012,ctn,-a,gm,,,,N,,,,
LX000013,ctn,-ã,gm,-a ; -ʌ̃ ; -ʌ,,,N,,,,
LX000014,ctn,aã,interj,,,,C/N,,,,
LX000015,ctn,ãba,n,aba,,,C/N,,,,
abadhi,ctn,abadhi,n,abadi,,,N,,,,
LX000016,ctn,abaraŋ,n,abaraŋ,,,N,,,,
abardebar,ctn,abardebar,adv,,,,N,,ritual,,
abasar,ctn,abasar,n,awasar,,,N,,,,
abastha,ctn,abastha,n,awasta,,,N,,,,
abela,ctn,abela,adv,,,,N,,,,
abijal,ctn,abijal,n,ʌbijal,,,N,,,,
abinas,ctn,abinas,n,abinash,,,N,,,,
abir,ctn,abir,n,,,,N,,,,
abire,ctn,abire,n,,,,C,,,,
abo,ctn,abo,adv,aba ; abaʔ ; ʌbʌ ; aboʔ,,,N,,,,
abui,ctn,abui,interj,abbhui ; abbui ; abbuĩ ; abhai ; abhi ; abhui ; abhuĩ ; abi ; abuĩ ; abɨi ; appai ; apphai ; appui ; apui,,,N,,,,
abhab,ctn,abhab,n,,,,N,,,,
abhagi,ctn,abhagi,adj,,,,N,,,,
abhasi,ctn,abhasi,n,,,,N,,,,
abhibhara,ctn,abhibhara,n,abibhara,,,N,,,,
abhibhawak,ctn,abhibhawak,n,abhiwawak,,,N,,,,
abhisan,ctn,abhisan,n,,,,N,,,,
aca,ctn,aca,interj,acya,,,N,,,,
acamma,ctn,acamma,n,accamma,,,N,,,,
acanak,ctn,acanak,adj,,,,N,,,,
acanu,ctn,acanu,n,acana,,,N,,,,
acar,ctn,acar,n,ʌcar ; accar,,,N,,,,
LX000017,ctn,accakaʔli,adv,,,,N,,,,
accame,ctn,accame,n,acchame,,,C,ultimate etymology remains unclear.,,,
accha,ctn,accha,adj,aʔcha,,,H,,,,
acchi,ctn,acchi,interj,accha ; acci ; achi ; atcheya ; aʔchi ; chaya ; chet ; cheya ; chi ; chichik ; chichiʔ ; chichi ; chiya ; chiyaʔ ; chiʔ ; chiʔchi ; chya ; chyaʔ ; chu,,,N,,,,
acchosa,ctn,acchosa,adv,,,,B,,,,
acchu,ctn,acchu,interj,acca ; accha ; acchacha ; acchau ; acchi ; acci ; acha ; accu ; acu ; achuchu ; aʔchuchu ; aʔcha,,,N,,,,
acikali,ctn,acikali,adv,accakali ; ackali ; ajakali ; ajholi ; ajikali ; ajjoli ; ajkali ; ajowali ; ajukali ; ʌjkʌl,,,C/N,,,,
achapicha,ctn,achapicha,n,,,,C,precise meaning of this entry remains to be established,ritual,,
acheta,ctn,acheta,n,achitta ; achetta,,,N,,,,
LX000018,ctn,achimmanɨŋ,adv,acchimaʔnɨŋ ; acchimanɨŋ,,,C,,,,
adabange,ctn,adabange,adj,adbeŋge,,,N,,,,
adanpradan,ctn,adanpradan,n,,,,N,,,,
adar,ctn,adar,n,,,,N,,,,
addawa,ctn,addawa,adv,,,,N,Etymology remains unclear.,,,
ademca,ctn,ademca,n,,,,C,,,,
LX000019,ctn,adeŋ,adv,,,,B,,,,
adi,ctn,adi,none,,,,N,,,,
LX000020,ctn,adi,n,adhi,,,B,,,,
adkau,ctn,adkau,vt,,adkaunu,,N,,,adka,
LX000021,ctn,adoŋmanɨŋ,adv,,,,C,,,,
aduwa,ctn,aduwa,n,,,,N,,,,
LX000022,ctn,aduwataŋpa,n,aduwataŋ,,,C,,,,
adha,ctn,adha,n,,,,N,,,,
adhai,ctn,adhai,adj,,,,N,,,,
adhakalco,ctn,adhakalco,adj,adhakalce,,,N,,,,
adhakhanci,ctn,adhakhanci,n,,,,C/N,,,,
adhapilto,ctn,adhapilto,adj,,,,N,,,,
adhar,ctn,adhar,adj,,,,N,,,,
adharati,ctn,adharati,adv,adharti,,,N,,,,
adhi,ctn,adhi,adj,adhi,,,N,,,,
LX000023,ctn,ãdhi,n,,,,N,,,,
LX000024,ctn,ãdhiberi,n,ãdhibehari,,,N,,,,
adhikar,ctn,adhikar,n,,,,N,,,,
adhikari,ctn,adhikari,n,,,,N,,,,
adhirajya,ctn,adhirajya,n,,,,N,,,,
adhisaro,ctn,adhisaro,adj,,,,N,,,,
LX000025,ctn,adhiyã,n,adhiya,,,N,,,,
adhunika,ctn,adhunika,adj,adhunik,,,N,,,,
adhyaksa,ctn,adhyaksa,n,adakche ; adacche,,,N,,,,
LX000026,ctn,ãdhyar,n,adharati,,,N,,,,
LX000027,ctn,ãdhyaro,adj,ãdhero,,,N,,,,
adhyayan,ctn,adhyayan,n,adheyan ; addheyan ; adhyan,,,N,,,,
agadi,ctn,agadi,adv,,,,N,,,,
agal,ctn,agal,vt,,agalnu,,N,,,,
agan,ctn,agan,n,agʌn,,,C/N,,,,
agena,ctn,agena,n,agenu,,,N,,,,
agge,ctn,agge,adj,,,,N,,,,
aglima,ctn,aglima,n,,,,N,,,,
aglo,ctn,aglo,adj,alko ; algo ; aklo,,,N,,,,
ago,ctn,ago,n,agni,,,N,,,,
agulto,ctn,agulto,n,agultho ; aghulto,,,N,,,,
aguwa,ctn,aguwa,adj,agguwa ; aggu ; ʌguwa,,,N,,,,
aghau,ctn,aghau,vi,,aghaunu,,N,,,agha,
aghe,ctn,aghe,adv,aghi ; ʌghi ; agghe,,,C/N,,,,
agheru,ctn,agheru,n,,,,C/N,,,,
LX000028,ctn,ahã,interj,a ; ah ; aha ; ahaʔ ; ahãʔ ; ãha ; ãhaʔ ; ãhã ; ãhãʔ ; ahuʔ ; ahũʔ ; ãhũ ; ahɨ̃ ; ahɨ̃m ; aɨ ; aʔ ; aʔha ; ã ; ãʔ ; ẽ ; ẽhẽ ; ẽhẽʔ ; hũ ; hũʔ ; hũʔũ ; hɨʔ ; hɨ̃ ; i ; ĩhĩ ; ĩhũ ; ɨ ; ɨhɨ ; ɨhɨʔ ; ɨʔ ; u ; uhãʔ ; uhu ; uhum ; uhuʔ ; uhũ ; uhũʔ ; um ; umhũʔ ; umʔ ; ũ ; ũh ; hu ; ũhuʔ ; ũhũ ; ũhũʔ ; ũmhĩm ; ũʔ ; ũhɨʔ ; ũʔhũ,,,C,,,,
ahal,ctn,ahal,n,,,,N,,,,
ahale,ctn,ahale,n,,,,C,,,,
aham,ctn,aham,interj,akham,,,C,,,,
ahammati,ctn,ahammati,n,ahamoti,,,N,,,,
LX000029,ctn,ahaŋ,sound,,,,C,,,,
aharis,ctn,aharis,n,,,,N,,,,
ahile,ctn,ahile,adv,aile,,,N,,,,
aho,ctn,aho,interj,aha ; ahai ; ahei ; akhau ; aʔho ; oho ; ohoho ; ohoi ; okho ; okhokho ; oʔkhou ; okkhou ; okhou ; ou ; oʔho ; oʔhoi ; oʔhou,,,N,,,,
ai,ctn,ai,interj,,,,C,,,,
LX000030,ctn,ai,n,,,,E,,,,
LX000031,ctn,aĩ,sound,,,,C,,,,
-ai,ctn,-ai,gm,-ʌi ; -oi,,,N,,,,
aidi,ctn,aidi,n,,,,E,,,,
aidiya,ctn,aidiya,n,,,,E,,,,
aija,ctn,aija,interj,aijau ; aiji,,imperative of a-i-ja- [come-LNK-go],N,,,,
aimai,ctn,aimai,n,,,,N,,,,
aina,ctn,aina,n,eina,,,N,,,,
aipug,ctn,aipug,vi,,aipugnu,,N,,,,
ais,ctn,ais,n,,,,C,,,,
LX000032,ctn,ais,n,,,,N,,,,
aisa,ctn,aisa,adv,aissa ; aisale,,Nep. ऐश ‘luxurious pleasure; sensual enjoyment’,C/N,,,,
LX000033,ctn,aĩselu,n,aiselu,,,N,,,,
aitabar,ctn,aitabar,n,,,,N,,,,
aitabare,ctn,aitabare,n,,,,N,,,,
aiya,ctn,aiya,interj,aiyace ; aiyase ; aiyau ; aiyaya ; aiyayaya ; aiyayayaya ; aiyaʔ ; aiyaʔa ; aiyo ; aiyou ; aiyu ; aiyya ; au ; auya ; aya ; ayaha ; ayak ; ayau ; ayauyau ; ayaya ; ayayaya ; ayaũ ; ayaʔ ; ayã ; ayo ; ayou ; ayu ; ayã ; aʔyau ; eya ; iya ; iyaya ; iyo ; oya ; ya ; yau,,,N,,,,
LX000034,ctn,aiya,interj,,,,B,,,,
aja,ctn,aja,adv,,,,N,,,,
ajabholi,ctn,ajabholi,adv,,,,N,,,,
ajan,ctn,ajan,n,agyan,,,N,,,,
ajast,ctn,ajast,vt,,,,E,,,,
ajataha,ctn,ajataha,adv,,,,N,,,,
ajha,ctn,ajha,adv,ajhai ; ajjhai ; ajoi,,,N,,,,
LX000035,ctn,ajiŋgar,n,,,,N,,,,
ajiti,ctn,ajiti,n,,,,N,,,,
ajkal,ctn,ajkal,adv,ajakal,,,N,,,,
akabare,ctn,akabare,n,ʌkʌbʌre,,,N,,,,
akal,ctn,akal,n,,,,N,,,,
akar,ctn,akar,n,akkar,,,N,,,,
akas,ctn,akas,n,,,,N,,,,
LX000036,ctn,akas,n,akasa ; akkas ; akkasa,,,N,,,,
akcher,ctn,akcher,n,ʌkcher,,,N,,,,
akka,ctn,akka,pro,akaʔ,,,C,,,ak,
LX000037,ctn,akka,interj,aga ; agaʔ ; agga ; aggaga ; aggai ; aggaʔ ; aggã ; aggha ; aggi ; ak ; aka ; akai ; akaiʔ ; akaĩ ; akhai ; akha ; akhakha ; akhou ; akkai ; akkaka ; akkaʔ ; akkha ; akkhai ; akkhaĩ ; akkho ; akkhou ; akki ; akku ; ãggaga ; ãggã ; ãkai ; kai ; kaʔ,,,C,,,,
LX000038,ctn,akkalaŋma,n,,,,C,,,,
akkanabakka,ctn,akkanabakka,adj,,,,N,,,,
akkhai,ctn,akkhai,adv,akhai ; akhkhai ; akkai,,,C,,,,
akmakau,ctn,akmakau,vi,,akmakaunu,,N,,,akmakaũ ; akmaka ; akmak,
aknathukthuk,ctn,aknathukthuk,adv,,,,C,,,,
akt,ctn,akt,vi,,akma,,C,,,ak,S-NOM(1) V-s(S)
LX000039,ctn,akt,vt,,akma,,C,,,ak,A-ERG P-NOM(1) V-a(A).o(P)
aktobar,ctn,aktobar,n,,,,E,,,,
LX000040,ctn,ãkhã,n,ãkha ; akha,,,N,,,,
akham,ctn,akham,adv,okhoŋ ; eʔhem ; aʔham,,,C,,,,
akhanda,ctn,akhanda,adj,,,,N,,,,
akhandapakhanda,ctn,akhandapakhanda,adj,,,,N,,,,
akhataruwa,ctn,akhataruwa,n,,,,N,,,,
LX000041,ctn,ãkhidai,n,,,,N,,,,
akhil,ctn,akhil,n,,,,N,,,,
akhir,ctn,akhir,adv,,,,N,,,,
akhiri,ctn,akhiri,adj,,,,N,,,,
akhisalla,ctn,akhisalla,n,ãkhisalla ; ãgisalla ; agisalla,,,C,,,,
LX000042,ctn,ãkhlo,n,akhla ; ãkhla,,,N,,,,
LX000043,ctn,akhomaŋ,adv,,,,B,,,,
akhuwa,ctn,akhuwa,n,,,,C,,,,
al,ctn,al,vi,,aĩma,,C,,,aĩ ; an,S-NOM(1) V-s(S)
LX000044,ctn,al,vi,,aĩma,,C,,,aĩ ; an,S-NOM(1) V-s(S)
LX000045,ctn,al,vt,,aĩma,,C,,,aĩ ; an,A-ERG G-NOM(1) T-ERG V-a(A).o(G)
LX000046,ctn,al,vt,,aĩma,,C,,,aĩ ; an,A-ERG P-NOM(1) V-a(A).o(P)
alacchin,ctn,alacchin,n,alecchan,,,N,,,,
alagga,ctn,alagga,adv,,,,N,,,,
alai,ctn,alai,interj,,,,C,,,,
alapatra,ctn,alapatra,adj,,,,N,,,,
alapjhalap,ctn,alapjhalap,adv,,,,C,,,,
alastalas,ctn,alastalas,adj,,,,N,,,,
alca,ctn,alca,n,,,,N,,,,
alecchini,ctn,alecchini,n,,,,N,,,,
ali,ctn,ali,adv,,,,N,,,,
LX000047,ctn,ali,n,,,,N,,,,
alikata,ctn,alikata,adv,alikati ; alik,,,N,,,,
aljh,ctn,aljh,vi,aljhi,aljhinu,,N,,,,
allare,ctn,allare,adj,,,,N,,,,
alle,ctn,alle,interj,aleleu,,,N,,,,
almal,ctn,almal,n,alamall,,,N,,,,
alo,ctn,alo,adj,,,,N,,,,
LX000048,ctn,aloĩci,n,ʌlʌĩci ; alaĩci,,,N,,,,
alp,ctn,alp,vi,,alpinu,,N,,,alpi,
alsi,ctn,alsi,adj,alchi ; alse ; alche,,,N,,,,
alu,ctn,alu,n,,,,N,,,,
am,ctn,am,interj,aɨhɨm,,,C,,,,
LX000049,ctn,am,adj,,,,N,,,,
am-,ctn,am-,gm,,,,B,,,,
ama,ctn,ama,n,,,,N,,,,
amaju,ctn,amaju,n,amaiju,,,N,,,,
amala,ctn,amala,n,amal,,,N,,,,
amandhama,ctn,amandhama,adj,,,,C,,,,
amar,ctn,amar,adj,,,,N,,,,
ambar,ctn,ambar,n,,,,N,,,,
ambira,ctn,ambira,n,,ambira legura,,C,,ritual,,
LX000050,ctn,ambirahaŋ,n,,,,C,,,,
LX000051,ctn,ambuhaŋ,n,,,,C,,ritual,,
amdani,ctn,amdani,n,,,,N,,,,
amel,ctn,amel,n,amil,,,N,,,,
amerika,ctn,amerika,n,amrika,,,E,,,,
amgit,ctn,amgit,n,,,,N,,,,
amilo,ctn,amilo,adj,,,,N,,,,
ammai,ctn,ammai,interj,ama ; amai ; amaĩ ; amei ; ammo ; amma ; ammaĩ ; amao ; amau ; ami ; amoi ; amo ; amui ; ammama ; amama ; ammamai ; amamama ; amou ; ammu,,,C,,,,
LX000052,ctn,ammai,n,,,,N,,,,
amnesamne,ctn,amnesamne,adv,,,,N,,,,
amnu-,ctn,amnu-,gm,,,,B,,,,
amrit,ctn,amrit,n,,,,N,,,,
amrita,ctn,amrita,n,,,,N,,,,
ams,ctn,ams,vi,,amma,,C,,,am,S-NOM(1) V-s(S)
LX000053,ctn,ams,vt,,amma,,C,,,am,A-ERG G-LOC T-NOM(1) V-a(A).o(T)
an-,ctn,an-,gm,ai-,,,B,,,,
-an,ctn,-an,gm,-ʌn,,,N,,,-n,
ana,ctn,ana,n,,,,N,,,,
ana-,ctn,ana-,gm,,,,C,,,,
anahak,ctn,anahak,adj,anak,,,N,,,,
anaitik,ctn,anaitik,adj,,,,N,,,,
anam,ctn,anam,adv,,,,C,,,,
anamanam,ctn,anamanam,adv,,,anam 'when' reduplicated,C,,,,
ananda,ctn,ananda,n,,,,C,,,,
LX000054,ctn,ananda,n,,,,N,,,,
LX000055,ctn,ananda,n,,,,C,,,,
LX000056,ctn,anaŋa,pro,anaã ; anana ; anaŋ ; anaŋã ; anã,,,C,,,ana,
anar,ctn,anar,n,,,,N,,,,
anautho,ctn,anautho,adj,,,,N,,,,
anawasek,ctn,anawasek,adj,anawasyak,,,N,,,,
anca-,ctn,anca-,gm,,,,C,,,,
ancal,ctn,ancal,n,,,,N,,,,
ancaladhis,ctn,ancaladhis,n,,,,N,,,,
LX000057,ctn,ancaŋa,pro,,,,C,,,anca,
anci,ctn,anci,pro,,,,C,,,,
anci-,ctn,anci-,gm,,,,C,,,,
anda,ctn,anda,n,,,,N,,,,
andarpen,ctn,andarpen,n,,,,N/E,,,,
ando,ctn,ando,n,anda ; andha ; andho,,,N,,,,
andolan,ctn,andolan,n,,,,N,,,,
andra,ctn,andra,n,,,,N,,,,
andhadhunda,ctn,andhadhunda,adv,,,,N,,,,
andhakar,ctn,andhakar,n,,,,N,,,,
andho,ctn,andho,adj,anda ; andha ; ando,,,N,,,,
anek,ctn,anek,adj,,,,N,,,,
LX000058,ctn,anekaũ,adj,,,,N,,,,
LX000059,ctn,anemnɨŋ,adv,,,,C,,,,
anes,ctn,anes,n,,,,N,,,,
ani,ctn,ani,pro,aniʔ,,,C,,,,
LX000060,ctn,ani,gm,ʌni,,,N,,,,
ani-,ctn,ani-,gm,,,,C,,,,
anibareya,ctn,anibareya,adj,anibarya ; aniwarya ; anibare,,,N,,,,
anido,ctn,anido,adj,anind,,,N,,,,
anikal,ctn,anikal,n,,,,N,,,,
anil,ctn,anil,n,,,,N,,,,
anita,ctn,anita,n,,,,N,,,,
LX000061,ctn,anɨcche,adv,anɨʔcche ; nuche ; unuʔche,,,B,,,,
LX000062,ctn,anɨŋ,adv,,,,C,,,,
LX000063,ctn,anɨŋanɨŋ,adj,,,anɨŋ 'how' reduplicated,C,,,,
anjuli,ctn,anjuli,n,anjuki,,,N,,,,
anna,ctn,anna,n,,,,N,,,,
anne,ctn,anne,n,ane,,,C,,,,
annu,ctn,annu,adv,annunu,,,C,,,,
anro,ctn,anro,n,andro ; andra,,,N,,,,
ansar,ctn,ansar,gm,anusar,,,N,,,,
anta,ctn,anta,n,,,,N,,,,
antar,ctn,antar,n,,,,N,,,,
antare,ctn,antare,n,ante,,,N,,,,
antargat,ctn,antargat,adv,,,,N,,,,
antari,ctn,antari,n,,,,N,,,,
anti,ctn,anti,n,,,,N/E,,,,
antim,ctn,antim,adj,ʌntim,,,N,,,,
antya,ctn,antya,n,,,,N,,,,
anthauna,ctn,anthauna,num,anthawanna,,,N,,,,
anu,ctn,anu,n,,,,N,,,,
anubhab,ctn,anubhab,n,,,,N,,,,
anuhar,ctn,anuhar,n,,,,N,,,,
anupat,ctn,anupat,n,,,,N,,,,
anupe,ctn,anupe,n,,,,N,,,,
anura,ctn,anura,n,,,,N,,,,
anyatha,ctn,anyatha,adv,,,,N,,,,
LX000064,ctn,aŋ,adv,ana ; ã ; ãŋ,,,C,,,,
LX000065,ctn,aŋ,gm,an ; ãŋ,,,C,,,,
LX000066,ctn,aŋaŋ,adv,,,,C,,,,
LX000067,ctn,aŋbu,n,,,,C,,,,
LX000068,ctn,aŋbura,n,,,,C,,,,
LX000069,ctn,aŋbura,n,,,,C,,,,
LX000070,ctn,aŋcha,n,,,,N,,,,
LX000071,ctn,aŋd,vt,,aŋma,,C,,,aŋ,A-ERG P-NOM V-a(A).o(P)
LX000072,ctn,aŋg,n,aŋga,,,N,,,,
LX000073,ctn,aŋgalo,n,,,,N,,,,
LX000074,ctn,aŋgula,n,,,,N,,,,
LX000075,ctn,aŋgur,n,angur,,,N,,,,
LX000076,ctn,aŋguri,n,,,,C,,,,
LX000077,ctn,aŋkal,n,,,,E,,,,
LX000078,ctn,aŋlighoĩpa,n,,,,C,,,,
LX000079,ctn,aŋmala,n,,,,C,,,,
LX000080,ctn,aŋmikheĩ,n,,aŋmikheĩ chummikheĩ,,C,,ritual,,
LX000081,ctn,aŋna,n,,,,N,,,,
LX000082,ctn,aŋpaŋ,adv,,,,C,,,,
LX000083,ctn,aŋreji,n,aŋgreji,,,N/E,,,,
LX000084,ctn,aŋs,vi,,aŋma,,C,,,aŋ,S-NOM(1) V-s(S)
LX000085,ctn,aŋs,vt,,aŋma,,C,,,aŋ,A-ERG P-NOM(1) V-a(A).o(P)
LX000086,ctn,aŋsa,n,,,,N,,,,
ap,ctn,ap,vt,,apma,,C,,,ab,A-ERG G-NOM T-ERG V-a(A).o(G)
apa,ctn,apa,n,appa,,"a- [1sPOSS] possessive + pa 'father', extension to other people's fathers probably parallel to Nep. ama 'mother'",C,,,,
apamme,ctn,apamme,adj,ʌpamme,,,N,,Eastern Nepali,,
LX000087,ctn,apaŋga,adj,,,,N,,,,
aparadhi,ctn,aparadhi,n,,,,N,,,,
apasapas,ctn,apasapas,pro,,,,N,,,,
apatti,ctn,apatti,n,apat,,,N,,,,
LX000088,ctn,apchoʔwa,n,,,,C,,,,
LX000089,ctn,apɨcɨrɨk,interj,,,,C,,,,
apmacha,ctn,apmacha,n,,talɨkcha apmacha,ap- 'shoot' + -ma [INF] infinitive + -cha [DIM] diminutive (SH24),C,,ritual,,
appi,ctn,appi,adv,,,,C/N,,,,
appiappi,ctn,appiappi,adv,,,,C/N,,,,
apresan,ctn,apresan,n,,,,E,,,,
apsara,ctn,apsara,n,,,,N,,,,
apse,ctn,apse,pro,,,,N,,,,
apt,ctn,apt,vt,aʔ,apma,,C,,,ap,A-ERG G-NOM T-ERG V-a(A).o(G)
LX000090,ctn,aptɨrɨ,n,,aptɨrɨ tɨmaru,,C,,ritual,,
aptharo,ctn,aptharo,adj,apthero ; apthyaro ; apthera,,,N,,,,
apuro,ctn,apuro,adj,,,,N,,,,
aputali,ctn,aputali,adj,,,,N,,,,
aph,ctn,aph,interj,,,,C,,,,
aphanta,ctn,aphanta,n,aphanto,,,N,,,,
LX000091,ctn,aphanta,adj,,,,N,,,,
aphe,ctn,aphe,n,aphi,,,C,,,,
aphis,ctn,aphis,n,apis ; ophis,,,E,,,,
aphisial,ctn,aphisial,adj,,,,E,,,,
aphno,ctn,aphno,pro,aphna,,,N,,,aphn,
aphrika,ctn,aphrika,n,,,,E,,,,
aphseap,ctn,aphseap,pro,,,,N,,,,
aphu,ctn,aphu,pro,,,,N,,,,
ara,ctn,ara,n,,,,N,,,,
aram,ctn,aram,n,,,,N,,,,
LX000092,ctn,araŋ,adj,,,,C,"The meaning of this entry is based on the translations found in the corpus. a- could be identified with a- [1sPOSS], but the function and derivation of raŋ is completely unclear.",,,
arassi,ctn,arassi,n,,,,C,,ritual,,
arati,ctn,arati,n,,,,N,,,,
arattha,ctn,arattha,adj,,,,N,,,,
arau,ctn,arau,vt,,araunu,,N,,,araũ ; ara ; ar,
arawa,ctn,arawa,n,,,,C,,ritual,,
arcana,ctn,arcana,n,,,,N,,,,
are,ctn,are,gm,re ; ʌre,,,N,,,,
LX000093,ctn,are,interj,,,,N,,,,
LX000094,ctn,areŋ,n,,,,C,,,,
arghelo,ctn,arghelo,adj,argheli,,,N,:to be reviewed:,,,
ari,ctn,ari,n,,,,N,,,,
LX000095,ctn,ari,n,,,,N,,,,
LX000096,ctn,arihaŋ,n,,,,C,,,,
LX000097,ctn,arihaŋ,n,,,,C,,,,
arjentina,ctn,arjentina,n,,,,E,,,,
arjun,ctn,arjun,n,,,,N,,,,
arko,ctn,arko,adj,arka,,,N,,,ark,
arkha,ctn,arkha,n,,,,C,,,,
armi,ctn,armi,n,,,,E,,,,
aroga,ctn,aroga,n,,,,C,,,,
arpan,ctn,arpan,n,,,,N,,,,
arpana,ctn,arpana,n,,,,N,,,,
arsath,ctn,arsath,num,,,,N,,,,
arti,ctn,arti,n,arthi,,,N,,,,
arts,ctn,arts,n,ards,,,E,,,,
artha,ctn,artha,n,,,,N,,,,
arthik,ctn,arthik,adj,,,,N,,,,
aru,ctn,aru,adj,,,,N,,,,
arukharka,ctn,arukharka,n,,,,N,,,,
arun,ctn,arun,n,aruna,,,N,,,,
aruna,ctn,aruna,n,,,,N,,,,
arunpare,ctn,arunpare,adj,,,,N,:to be reviewed:,,,
as,ctn,as,n,ash,,,N,,,,
-as,ctn,-as,gm,-ʌs,,,N,,,-s,
asa,ctn,asa,n,assu ; asu ; asuri ; asha,,,N,,,as,
LX000098,ctn,asa,n,,,,N,,,,
asagune,ctn,asagune,n,,,,N,,,,
asai,ctn,asai,n,eyesai,,,E/H,,,,
asal,ctn,asal,adj,,,,N,,,,
asam,ctn,asam,n,,,,N,,,,
asan,ctn,asan,n,asn,,,N,,,,
asar,ctn,asar,n,assar,,,N,,,,
LX000099,ctn,asar,n,,,,N,,,,
asari,ctn,asari,n,,,,N,,,asar,
asatti,ctn,asatti,n,,,,N,,,,
asatya,ctn,asatya,n,asatye ; asatte,,,N,,,,
LX000100,ctn,aseĩ,adv,asen ; asseŋ ; asei ; asseĩ,,,C,,,,
LX000101,ctn,aseĩba,adv,aseĩbaʔ ; asaĩba,,,C,,,,
LX000102,ctn,aseĩgosaŋa,adv,assegosaŋa ; aseŋgosaŋa ; assegosãŋa ; aseigosaŋa ; asseĩgosaŋã,,,C,,,,
asi,ctn,asi,num,,,,N,,,,
asika,ctn,asika,n,,,,N,,,,
asikchit,ctn,asikchit,adj,asicchit,,,N,,,,
asikhabara,ctn,asikhabara,n,asikhabaran,,,C/N,,,,
asinda,ctn,asinda,adv,asindaʔ,,,C,,,,
asis,ctn,asis,n,,,,N,,,,
askot,ctn,askot,n,stakot,,,N/E,,,,
asmola,ctn,asmola,n,,,,N,,,,
asoj,ctn,asoj,n,asoc,,,N,,,,
asok,ctn,asok,n,ashok,,,N,,,,
aspas,ctn,aspas,adv,,,,N,,,,
assam,ctn,assam,n,,,,C,,,,
asti,ctn,asti,adv,,,,N,,,,
astha,ctn,astha,n,,,,N,,,,
asuk,ctn,asuk,adv,asku ; assu ; assuk ; asu ; asuʔ,,,C,,,asko,
asul,ctn,asul,n,,,,N,,,,
asuro,ctn,asuro,n,,,,N,,,,
aswasan,ctn,aswasan,n,,,,N,,,,
LX000103,ctn,ãt,vt,at,ãtnu,,N,,,,
atau,ctn,atau,vi,,ataunu,,N,,,ata ; at,
atejate,ctn,atejate,adv,,,,N,,,,
ati,ctn,ati,adv,atti,,,H,,,,
aticar,ctn,aticar,n,atticar,,,N,,,,
atisi,ctn,atisi,n,atimi,,,C,,ritual,,
atmaya,ctn,atmaya,n,,,,N,,,,
att,ctn,att,vi,atti,attinu,,N,,,,
atta,ctn,atta,adj,atti,,,C,,,,
LX000104,ctn,atta,n,,,,N,,,,
attal,ctn,attal,vi,,attalinu,,N,,,,
atteri,ctn,atteri,adj,ateri,,,N,,,,
attis,ctn,attis,num,adtis,,,N,,,,
atto,ctn,atto,adj,,,,N,,,,
attha,ctn,attha,interj,atata ; atha ; athau ; atthatha ; atthau ; atthu,,,C/N,,,,
aturi,ctn,aturi,n,atturi,,,N,,,,
atyacar,ctn,atyacar,n,aticar ; aʔticar,,,N,,,,
atyantai,ctn,atyantai,adv,,,,N,,,,
ath,ctn,ath,num,,,,N,,,atth,
athana,ctn,athana,n,,,,N,,,,
athapare,ctn,athapare,n,athpare,,,N,,,,
athara,ctn,athara,num,atthara,,,N,,,,
LX000105,ctn,athaũ,num,,,,N,,,,
athawa,ctn,athawa,gm,ʌthʌwa,,,N,,,,
athcalis,ctn,athcalis,num,athacalis ; atcalis,,,N,,,,
athom,ctn,athom,adv,atthom ; athoŋ ; athomba ; athombaʔ ; athoma ; atthoma ; atho,,,C,,,,
athpola,ctn,athpola,n,,,,N,,,,
aththais,ctn,aththais,n,athais ; aʔthais ; atthais,,,N,,,,
au,ctn,au,interj,,,,C,,,,
LX000106,ctn,au,vi,ay,aunu,,N,,,aũ ; a,
LX000107,ctn,au,interj,,,,C/N,,,,
LX000108,ctn,aũ,interj,au,,,C,:to be reviewed:,,,
-au,ctn,-au,gm,-ʌu,,,N,,,,
LX000109,ctn,-au,gm,,,,N,,,-aũ,
LX000110,ctn,-aũ,gm,-ʌũ ; -um ; -am,,,N,,,,
LX000111,ctn,-aũ,gm,-ʌũ ; -oŋ,,,N,,,,
